year,county1,county,fbfmcode,debt_to_asset,Cash_acres,Share_acres,Owned_Acres,Total_Acres,spr,Cash_percent,Share_percent,Owned_percent
2012,Adams,ADAMS,1,0.144220687,5342,10008,4231,19581,81.81221592,0.272815484,0.511107706,0.216076809
2012,Brown,BROWN,5,0.219397984,68,358,493,919,73.78237214,0.073993471,0.389553863,0.536452666
2012,Bureau,BUREAU,6,0.402495777,15764,1683,3405,20852,86.77249185,0.755994629,0.080711682,0.163293689
2012,Carroll,CARROLL,8,0.356762232,14342,1406,6572,22320,72.17087814,0.642562724,0.062992832,0.294444444
2012,Cass,CASS,9,0.261211858,219,3529,3542,7290,70.08408779,0.030041152,0.484087791,0.485871056
2012,Champaign,CHAMPAIGN,10,0.208084443,20153,27677,5340,53170,93.63095731,0.379029528,0.520537897,0.100432575
2012,Clark,CLARK,12,0.203329556,5021,9491,3445,17957,58.33145848,0.279612407,0.528540402,0.191847191
2012,Clay,CLAY,13,0.252679091,1900,1609,656,4165,54.1394958,0.456182473,0.386314526,0.157503001
2012,Clinton,CLINTON,14,0.221904888,0,0,129,129,70,0,0,1
2012,Coles,COLES,15,0.244870492,1605,2052,410,4067,88,0.394639784,0.504548807,0.100811409
2012,Crawford,CRAWFORD,17,0.132092523,0,223,393,616,55,0,0.362012987,0.637987013
2012,DeKalb,DEKALB,19,0.213972639,12347,2877,1989,17213,89.97949224,0.717306687,0.167141114,0.115552199
2012,DeWitt,DEWITT,20,0.130707438,1243,2410,572,4225,93.2104142,0.294201183,0.570414201,0.135384615
2012,Douglas,DOUGLAS,21,0.218262846,3561,9489,1223,14273,95.57058782,0.249492048,0.664821691,0.085686261
2012,Edgar,EDGAR,23,0.192985313,1753,2534,183,4470,89.50022371,0.392170022,0.56689038,0.040939597
2012,Edwards,EDWARDS,24,0.252581503,233,437,490,1160,55,0.200862069,0.376724138,0.422413793
2012,Effingham,EFFINGHAM,25,0.128883953,3094,1836,2509,7439,58.75951069,0.415916118,0.246807367,0.337276516
2012,Ford,FORD,27,0.187193442,4834,7585,3395,15814,80.89035032,0.305678513,0.479638295,0.214683192
2012,Fulton,FULTON,29,0.350493183,964,1840,1580,4384,85.24041971,0.219890511,0.419708029,0.36040146
2012,Grundy,GRUNDY,32,0.245452774,8748,4382,2182,15312,82.10475444,0.571316614,0.286180773,0.142502612
2012,Hancock,HANCOCK,34,0.132509313,15483,21062,7528,44073,87.34898918,0.351303519,0.477888957,0.170807524
2012,Henderson,HENDERSON,36,0.235430832,3128,2300,841,6269,83.96793747,0.498963152,0.366884671,0.134152177
2012,Henry,HENRY,37,0.111221884,4468,1277,3114,8859,76.66847274,0.504345863,0.144147195,0.351506942
2012,Iroquois,IROQUOIS,38,0.157286117,20469,25214,6815,52498,85.12674769,0.389900568,0.480284963,0.129814469
2012,Jasper,JASPER,40,0.195837873,1747,1909,1147,4803,59.05579846,0.363731001,0.397459921,0.238809078
2012,JoDaviess,JO DAVIESS,43,0.244695517,2762,134,1870,4766,62.9710449,0.579521611,0.02811582,0.392362568
2012,Kane,KANE,45,0.133574805,1953,0,392,2345,88.53432836,0.832835821,0,0.167164179
2012,Kendall,KENDALL,47,0.207699048,8161,3357,1898,13416,86.23233453,0.608303518,0.250223614,0.141472868
2012,Knox,KNOX,48,0.234230095,10903,5799,5310,22012,81.30106306,0.495320734,0.263447211,0.241232055
2012,LaSalle,LASALLE,50,0.157631143,10322,10296,3703,24321,88.13338267,0.424406891,0.423337856,0.152255253
2012,Lawrence,LAWRENCE,51,0.174083282,1135,1375,1975,4485,56.32218506,0.253065775,0.30657748,0.440356745
2012,Lee,LEE,52,0.139975788,5508,1904,1158,8570,87.40046674,0.642707118,0.222170362,0.13512252
2012,Livingston,LIVINGSTON,53,0.165080702,38448,47181,18427,104056,80.62503844,0.36949335,0.453419313,0.177087338
2012,Logan,LOGAN,54,0.182690392,16921,18341,4289,39551,92.58221031,0.427827362,0.463730373,0.108442264
2012,McDonough,MCDONOUGH,55,0.291358558,7902,6227,2452,16581,89.4864001,0.476569568,0.375550329,0.147880104
2012,McLean,MCLEAN,57,0.140432789,32252,47139,10589,89980,88.18081796,0.358435208,0.523883085,0.117681707
2012,Macon,MACON,58,0.227863324,3135,4550,857,8542,94.05631,0.367010068,0.53266214,0.100327792
2012,Marion,MARION,61,0.175997767,530,0,495,1025,55,0.517073171,0,0.482926829
2012,Marshall,MARSHALL,62,0.120938938,3472,5112,2355,10939,81.06124874,0.317396471,0.467318768,0.215284761
2012,Mason,MASON,63,0.21336888,1017,4150,1736,6903,59.37795162,0.147327249,0.601187889,0.251484862
2012,Menard,MENARD,65,0.061497151,1558,1689,192,3439,88.73742367,0.453038674,0.491131143,0.055830183
2012,Mercer,MERCER,66,0.287035913,21181,7447,8667,37295,76.77047862,0.567931358,0.199678241,0.232390401
2012,Monroe,MONROE,67,0.213440707,0,366,540,906,65,0,0.40397351,0.59602649
2012,Montgomery,MONTGOMERY,68,0.240887766,1808,926,139,2873,85.02262443,0.629307344,0.322311173,0.048381483
2012,Morgan,MORGAN,69,0.151975954,3461,6887,1841,12189,82.79965543,0.28394454,0.565017639,0.151037821
2012,Moultrie,MOULTRIE,70,0.128797989,4280,9039,1318,14637,91.58290633,0.292409647,0.617544579,0.090045774
2012,Ogle,OGLE,71,0.249337772,3146,1289,1265,5700,87.58982456,0.551929825,0.226140351,0.221929825
2012,Peoria,PEORIA,72,0.19525029,14640,14850,7267,36757,81.91400277,0.398291482,0.404004679,0.197703839
2012,Piatt,PIATT,74,0.276908041,7935,5724,712,14371,92.41980377,0.552153643,0.398302136,0.049544221
2012,Pike,PIKE,75,0.186024232,620,3409,904,4933,80.46178796,0.125684168,0.691060207,0.183255625
2012,Randolph,RANDOLPH,79,0.426481104,143,591,290,1024,51,0.139648438,0.577148438,0.283203125
2012,Richland,RICHLAND,80,0.17672847,756,986,1657,3399,56.39070315,0.222418358,0.290085319,0.487496322
2012,Rock Island,ROCK ISLAND,81,0.112620489,1054,323,458,1835,78.78201635,0.574386921,0.176021798,0.249591281
2012,StClair,ST CLAIR,82,0.304501335,0,1182,73,1255,65,0,0.941832669,0.058167331
2012,Sangamon,SANGAMON,84,0.136826483,10716,19368,5108,35192,90.73536599,0.304501023,0.550352353,0.145146624
2012,Schuyler,SCHUYLER,85,0.279459956,5097,3498,2494,11089,79.15844531,0.459644693,0.315447741,0.224907566
2012,Scott,SCOTT,86,0.18234639,457,2219,560,3236,76.63535229,0.141223733,0.685723115,0.173053152
2012,Stark,STARK,88,0.243543142,16918,6635,6408,29961,88.73355362,0.564667401,0.221454558,0.213878041
2012,Stephenson,STEPHENSON,89,0.237737216,31506,1216,11020,43742,75.44965937,0.720268849,0.027799369,0.251931782
2012,Tazewell,TAZEWELL,90,0.20965915,10446,20243,5916,36605,80.14541729,0.285370851,0.553011884,0.161617265
2012,Vermilion,VERMILION,92,0.219602701,33428,38321,8810,80559,84.02063084,0.414950533,0.475688626,0.109360841
