Column1,Column2,Column3,Column4,county,Net Reported Quantity
2003,17,IL,1,ADAMS                         ,77
2003,17,IL,1,ADAMS       ,0
2003,17,IL,1,ADAMS                         ,1287
2003,17,IL,1,ADAMS                         ,529
2003,17,IL,1,ADAMS                         ,216
2003,17,IL,1,ADAMS                         ,6883
2003,17,IL,1,ADAMS                         ,2073
2003,17,IL,1,ADAMS                         ,955
2003,17,IL,1,ADAMS                         ,10003
2003,17,IL,1,ADAMS                         ,665
2003,17,IL,1,ADAMS                         ,416
2003,17,IL,1,ADAMS                         ,1933
2003,17,IL,1,ADAMS                         ,2238
2003,17,IL,1,ADAMS                         ,1947
2003,17,IL,1,ADAMS                         ,31
2003,17,IL,1,ADAMS                         ,73
2003,17,IL,1,ADAMS                         ,527
2003,17,IL,1,ADAMS                         ,28
2003,17,IL,1,ADAMS                         ,852
2003,17,IL,1,ADAMS                         ,136
2003,17,IL,1,ADAMS                         ,163
2003,17,IL,1,ADAMS                         ,192
2003,17,IL,1,ADAMS                         ,21743
2003,17,IL,1,ADAMS                         ,30421
2003,17,IL,1,ADAMS                         ,21163
2003,17,IL,1,ADAMS                         ,4862
2003,17,IL,1,ADAMS                         ,494
2003,17,IL,1,ADAMS                         ,0
2003,17,IL,1,ADAMS                         ,12
2003,17,IL,1,ADAMS                         ,12
2003,17,IL,1,ADAMS                         ,0
2003,17,IL,1,ADAMS                         ,690
2003,17,IL,1,ADAMS                         ,11251
2003,17,IL,1,ADAMS                         ,52
2003,17,IL,1,ADAMS                         ,76
2003,17,IL,1,ADAMS                         ,10807
2003,17,IL,1,ADAMS                         ,3351
2003,17,IL,1,ADAMS                         ,2973
2003,17,IL,1,ADAMS                         ,719
2003,17,IL,1,ADAMS                         ,11352
2003,17,IL,1,ADAMS                         ,243
2003,17,IL,1,ADAMS                         ,84
2003,17,IL,1,ADAMS                         ,1586
2003,17,IL,1,ADAMS                         ,1717
2003,17,IL,1,ADAMS                         ,1758
2003,17,IL,1,ADAMS                         ,107
2003,17,IL,1,ADAMS                         ,217
2003,17,IL,1,ADAMS                         ,69
2003,17,IL,1,ADAMS                         ,30
2003,17,IL,1,ADAMS                         ,217
2003,17,IL,1,ADAMS                         ,83
2003,17,IL,1,ADAMS                         ,161
2003,17,IL,1,ADAMS                         ,123
2003,17,IL,1,ADAMS                         ,11308
2003,17,IL,1,ADAMS                         ,17907
2003,17,IL,1,ADAMS                         ,12372
2003,17,IL,1,ADAMS                         ,3484
2003,17,IL,1,ADAMS                         ,341
2003,17,IL,1,ADAMS                         ,1212
2003,17,IL,1,ADAMS                         ,34
2003,17,IL,1,ADAMS                         ,211
2003,17,IL,1,ADAMS                         ,762
2003,17,IL,1,ADAMS                         ,1301
2003,17,IL,1,ADAMS                         ,122
2003,17,IL,1,ADAMS                         ,348
2003,17,IL,3,ALEXANDER                     ,435
2003,17,IL,3,ALEXANDER                     ,291
2003,17,IL,3,ALEXANDER                     ,197
2003,17,IL,3,ALEXANDER                     ,905
2003,17,IL,3,ALEXANDER                     ,0
2003,17,IL,3,ALEXANDER                     ,8092
2003,17,IL,3,ALEXANDER                     ,225
2003,17,IL,3,ALEXANDER                     ,0
2003,17,IL,3,ALEXANDER                     ,63
2003,17,IL,3,ALEXANDER                     ,306
2003,17,IL,3,ALEXANDER                     ,263
2003,17,IL,3,ALEXANDER                     ,0
2003,17,IL,3,ALEXANDER                     ,0
2003,17,IL,3,ALEXANDER                     ,54
2003,17,IL,3,ALEXANDER                     ,0
2003,17,IL,3,ALEXANDER                     ,0
2003,17,IL,3,ALEXANDER                     ,3455
2003,17,IL,3,ALEXANDER                     ,1223
2003,17,IL,3,ALEXANDER                     ,867
2003,17,IL,3,ALEXANDER                     ,905
2003,17,IL,3,ALEXANDER                     ,23091
2003,17,IL,3,ALEXANDER                     ,0
2003,17,IL,3,ALEXANDER                     ,0
2003,17,IL,3,ALEXANDER                     ,275
2003,17,IL,3,ALEXANDER                     ,245
